id,name,address,overview,feature1,feature2,feature3,reviews,region,link,hours,fee,taken_time,,,,,,,,,,,,,
19,9.81 파크 제주,제주특별자치도 제주시 애월읍 천덕로 880-24,"세계 최초의 그레비티 레이싱 테마파크, 9.81 파크","세 종류의 GR(Gravity Racer)로 4개의 코스, 총 10개 트랙의 레이스 코스에서 오직 중력 가속도 만으로 비양도를 품은 푸른 바다를 보며 ‘다운힐 레이싱’을 즐길 수 있다","주위 자연과 어우러져 다채로운 어트랙션(링고, 하늘그네, 스포츠랩, VR액티비티 등)이 존재한다",제주의 건강한 재료들로 만든 트렌디한 식당과 로봇이 내려주는 커피숍이 있다,11261,north,https://map.naver.com/p/entry/place/1666616962,09:00 ~ 18:00,49500원,2시간,,,,,,,,,,,,,
20,협재해수욕장,제주특별자치도 제주시 한림읍 협재리 2497-1,"비양도, 은모래, 바다가 그려낸 그림같이 아름다운 해변",투명한 물에 에메랄드빛 물감을 서서히 풀어놓은 듯한 바다빛은 보는 것만으로도 힐링이 된다,바다 앞에는 어린 왕자 속 보아뱀을 삼킨 코끼리 그림 모양의 ‘비양도’가 있다. 비양도와 바다 위로 떨어지는 석양은 이곳에서 놓칠 수 없는 또 하나의 장관이다,"협재해수욕장은 경사가 완만해 수심이 얕고, 소나무 숲도 있어서 어린이가 있는 가족 단위 여행객의 휴가지로 좋다",568,north,https://map.naver.com/p/entry/place/11491807,상시개방,무료,30분,,,,,,,,,,,,,
21,제주레일바이크,제주특별자치도 제주시 구좌읍 용눈이오름로 641,해외에 온 것 같은 풍경이 펼쳐지는 100% 자동 힐링 레일바이크,"구좌읍 주변의 오름과 우도, 성산일출봉 등을 조망할 수 있을 뿐 아니라, 목장이 함께 운영되고 있어 방목된 100여 마리의 소를 감상할 수 있다",2층에 위치한 전망대에 오르면 용눈이 오름을 배경으로 펼쳐진 레일바이크의 풍경과 목장의 모습을 함께 감상 할 수 있다,매 시간 정시부터 30분 사이에 운행하며 트레일 완주는 약 35분 정도 소요된다,12573,east,https://map.naver.com/p/entry/place/33359625,09:00 ~ 17:30,15000원,1시간,,,,,,,,,,,,,
22,섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,아름다운 해안이 일품인 섭지,"들머리의 신양해변백사장, 끝머리 언덕위 평원에 드리워진 유채밭과 제주조랑말들, 바위로 둘러친 해안절벽과 우뚝 치솟은 선바위 등은 전형적인 제주의 아름다움을 만날 수 있다","제주의 다른 해안과는 달리 송이라는 붉은 화산재로 되어 있고, 밀물과 썰물에 따라 물속에 잠겼다가 일어서는 기암괴석들은 어디에서도 볼 수 없는 자연의 수석 전시회를 연출한다",선돌바위에는 선녀와 용왕신의 막내아들에 관한 슬픈 전설도 전해내려온다,3371,east,https://map.naver.com/p/entry/place/13490878,상시개방,무료,1시간,,,,,,,,,,,,,
23,김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,너럭바위 용암 위에 모래가 쌓여 만들어진 해수욕장,"하얀 모래에 부서지는 파도들이 시원한 소리를 내고, 코발트빛 바다 풍경이 제주 자연의 아름다움을 새삼 느끼게 해주는 곳이다", 해변가를 걷다 보면 제주의 바람으로 돌아가는 김녕풍력발전기들을 관찰할 수 있다,"김녕해수욕장은 특이한 지형으로 인해 지질트레일도 조성이 되어 있는데, 지질트레일은 유네스코 세계지질공원을 활용해 각 지역의 지질자원과 마을의 역사 및 문화와 어울려진 도보길이다",122,north,https://map.naver.com/p/entry/place/13491485,상시개방,무료,1시간,,,,,,,,,,,,,
24,천제연폭포,제주특별자치도 서귀포시 천제연로 132 천제연폭포관리소,주상절리형의 암벽과 에메랄드 빛의 연못이 매력적인 제주도의 3단 폭포 ,"폭포 양쪽으로는 난대림이 형성되어 있는데, 국내에서는 보기 드문 송엽란, 담팔수 등이 자생하며, 여러 가지 상록수와 덩굴식물 ·관목류가 무성하게 어우러져있다"," 2단과 3단 폭포 사이에는 선임교라는 아치형의 다리가 있는데, 옥황상제를 모시던 칠선녀가 옥피리를 불며 내려와 노닐다 올라갔다고 하는 전설이 있어 칠선녀다리로도 불린다","폭포 근처에 있는 암석동굴 천정에는 이가 시리도로 차가운 물이 쏟아져 백중, 처서에 이물을 맞으면 모든 병이 사라진다는 설이 있었으나 지금은 수영이 금지되어 진입할 수 없다",4291,north,https://map.naver.com/p/entry/place/11491637,09:00 ~ 17:20,2500원,1시간 30분,,,,,,,,,,,,,
25,신화테마파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,"15개의 최신 놀이기구와 어트랙션, VR체험과 게임, 퍼레이드와 쇼 등을 즐길 수 있다","15개의 최신 놀이기구와 어트랙션, VR체험과 게임, 퍼레이드와 쇼 등을 즐길 수 있다","제주 신화월드에 속하는 테마파크로, 주변에 호텔 및 리조트와 신화워터파크가 있다","3가지 테마(로터리파크, 오스카뉴월드, 라바어드벤처빌리지)로 구성되어있다",3966,west,https://map.naver.com/p/entry/place/1870600980,10:00 ~ 20:00,24000원,4시간,,,,,,,,,,,,,
26,제주맥주 양조장,제주특별자치도 제주시 한림읍 금능농공길 62-11,제주도 하면 가장 먼저 떠오르는 로컬맥주인 제주맥주 양조를 체험할 수 있는 장소,"양조장 투어는 사전예약제로 운영되는데, 오후 1시를 시작으로 7시까지 다양한 시간대로 총 7번의 투어를 진행한다",제주맥주의 양조 과정을 제주 바다만큼이나 투명하게 소개하는 제주맥주의 도슨트 투어는 30~40분 동안 이어진다,양조장 투어를 마친 사람들이 맥주를 맛볼 수 있도록 양조장 건물 3층에 펍을 만들어 놓았다,1903,west,https://map.naver.com/p/entry/place/85279427,12:30 ~ 19:30,19000원,1시간,,,,,,,,,,,,,
27,휴애리자연생활공원,제주특별자치도 서귀포시 남원읍 신례동로 256,자연속 동·식물들과 교감이 있는 체험형 자연생활공원,"계절마다 수국, 핑크뮬리, 동백꽃, 매화, 유채 등 다양한 꽃을 즐길 수 있다","철분과 미네랄 성분이 풍부한 화산송이로 이루어진 휴애리공원에서 발지압을 하며 건강을 챙길 수 있고 굴렁쇠 굴리기, 투호던지기, 돌 탑 쌓기 등을 체험할 수도 있다","흑돼지, 토끼, 소, 닭 등의 동물들과 교감하며 먹이주기 체험을 할 수 있고 제주감귤을 따는 방법을 배우고 직접 따서 맛볼 수 있다",16592,south,https://map.naver.com/p/entry/place/12047800,09:00 ~ 18:00,13000원,2시간,,,,,,,,,,,,,
28,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,500~800년생 비자나무들이 자생하는 신비로운 느낌의 휴양림,숲 입구에서부터 기분 좋은 향기가 퍼져 나오는 힐링 산책로가 조성되어 있다,벼락 맞은 나무부터 긴 세월이 느껴지는 아름드리 나무까지 다양한 비자나무를 만날 수 있다,약 1시간 정도의 무료 탐방해설을 통해 비자림에 자라는 다양한 식물과 숨은 이야기를 들을 수 있다,11546,east,https://map.naver.com/p/entry/place/12370507,09:00 ~ 18:00,3000원,1시간,,,,,,,,,,,,,
29,제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주도 삶의 원형을 간직한 민속촌,제주도민의 민속 문화를 간직하고 있는 제주민속촌은 제주에서 가장 제주다운 곳이다,"제주의 민속 문화가 제대로 보존되어 있으며, 우리의 꽃과 나무를 한눈에 보고, 세계 문화의 유사성과 차별성을 비교해 볼 수 있는 문화 공간이다",조선말인 1890년대를 기준 연대로 삼아 제주 전래의 민속자료를 총체적으로 정리하여 전시하고 있다,7001,east,https://map.naver.com/p/entry/place/11590712,08:30 ~ 17:00,15000원,1시간 30분,,,,,,,,,,,,,
30,테디베어뮤지엄,제주특별자치도 서귀포시 중문관광로110번길 31,다양한 테마와 재미있는 볼거리가 가득한 국내 유일의 테디베어 박물관,세계 각국에서 모아 온  진귀한 테디베어들이 전시되어 있다,테디베어 전시를 통해서 20세기 인류 역사를 소개하고 있다,중문 색달해변이 내려가 보이는 잔디광장과 야외정원이 조성되어 있어 싱그러운 바닷바람과 함께 산책의 여유로움도 찾을 수 있다,"4,489",south,https://map.naver.com/p/entry/place/11607804,09:00 ~ 18:00,12000원,1시간,,,,,,,,,,,,,
31,빛의 벙커,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17 A동,성산에 숨겨져 있던 통신 벙커에서 열리는 미디어 아트 전시,"벙커를 빛과 소리로 새롭게 탄생시킨 문화 재생공간으로, 현재 제주를 대표하는 예술 랜드마크이다","고화질 프로젝터로 벽면, 기둥, 바닥 등 사방에 명화를 투사해 역동적이고 완벽한 몰입감을 선사한다",이번 전시는 현대 회화의 세잔과 추상 회화의 칸딘스키 작품을 만날 수 있다,"16,366",east,https://map.naver.com/p/entry/place/1279138610,10:00 ~ 18:20,18000원,1시간,,,,,,,,,,,,,
32,천지연폭포,제주특별자치도 서귀포시 서홍동 2565,아름다운 폭포와 울창한 숲이 특징인 제주도의 대표 폭포,하늘과 땅이 만나 이루어진 연못이라는 의미로 서귀포 폭포 중에서 규모나 경관 면에서 단연 으뜸이다,산책로를 따라 자연을 감상하며 걸으면 웅장한 모습의 폭포를 볼 수 있다,야간조명이 설치되어 있어 야간에는 빛나는 색다른 폭포의 모습을 볼 수 있다,"7,031",south,https://map.naver.com/p/entry/place/11491638,09:00 ~ 22:00,2000원,30분,,,,,,,,,,,,,
33,대포해안주상절리대,제주특별자치도 서귀포시 이어도로 36-30,해안선을 따라 형성된 절경과 육각형의 돌기둥,제주도의 빼어난 해안 절경 중 하나로 손꼽히는 곳이다,마치 예리한 조각 칼로 섬세하게 깎아낸 듯한 4~6각형 형태의 기둥을 볼 수 있다,"기둥에 파도가 부딪힐 때, 높이 20m 이상 치솟는 '쇼'가 펼쳐지기도 한다",1018,south,https://map.naver.com/p/entry/place/16927391,09:00 ~ 17:00,2000원,30분,,,,,,,,,,,,,
34,곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,시원한 용천수를 뿜어내는 노천탕이 있는 곳,"협재해수욕장, 이호테우해수욕장과 함께 제주시에서 많은 사람들이 꾸준히 찾고 있는 제주도의 대표 해수욕장이다",파도가 높지 않아 해수욕과 함께 피서를 즐기기에 좋다,썰물 때 바닷물이 빠지면 바닷물 대신 용천수가 흘러나와 과물노천탕을 즐길 수 있다,715,west,https://map.naver.com/p/entry/place/13491575,상시개방,무료,30분,,,,,,,,,,,,,
35,판포포구,제주특별자치도 제주시 한경면 판포리,서귀포 끝자락에 있는 깨끗한 물색을 자랑하는 작은 포구,"서쪽의 다른 해수욕장에 비해 물이 깊고 입수 전에는 모래가 없어, 수영과 스노클링을 즐기기에 안성맞춤이다",스노클링 장소로 유명해지면서 여름이면 맑은 스노클링을 하기 위한 관광객들로 성황이다,무늬오징어가 잡히는 포인트로도 유명해 낚시꾼들도 자주 찾는다,39,west,https://map.naver.com/p/entry/place/1828521312,상시개방,무료,30분,,,,,,,,,,,,,
36,동백포레스트,제주특별자치도 서귀포시 남원읍 생기악로 53-38,사진찍기 좋은 신례리 동백나무 군락지,동글동글한 애기동백나무가 심어져 있는 동백 군락지이다,화려하게 피어난 동백꽃과 군락지를 둘러싼 돌담 그리고 나무 주변에 의자가 배치되어 있어 사진찍기에 좋다,12월 말부터 1월 사이에 애기동백꽃이 만개해 절정에 이른다,3340,south,https://map.naver.com/p/entry/place/1611903913,09:00 ~ 17:30,6000원,1시간,,,,,,,,,,,,,
37,1100고지습지,제주특별자치도 서귀포시 색달동 산 1-1,겨울이면 더욱 아름다운 한라산 대표적인 뷰포인트,가장 쉽게 한라산을 조망할 수 있는 뷰포인트이자 제주도의 아름다운 드라이브 명소이다,겨울이면 눈 꽃이 내린 모습이 장관을 이루는 제주도 최고의 눈꽃명소이다,나무 데크로 산책로가 조성되어 있어 산책하기에 좋은 1100고지 습지가 있다,351,west,https://map.naver.com/p/entry/place/17063361,상시개방,무료,30분,,,,,,,,,,,,,
38,우도,제주특별자치도 제주시 우도면 연평리,소가 누워있는 형상을 하고 있는 제주의 가장 큰 부속섬,"우도봉에 올라 우도의 전경을 바라볼 수 있고 넓은 백사장, 아름다운 해수욕장, 해안코스를 즐길 수 있다","우도올레길을 따라 걸어도 되고 자전거, 스쿠터, 우도순환버스를 이용해 한 바퀴 돌아볼 수 있다",성산항과 종달항에서 우도가는 배를 탈 수 있는데 어디서 출발하든 15분 정도 소요된다.,11523,east,https://map.naver.com/p/entry/place/13491925,07:30 ~ 17:30,5000원,5시간,,,,,,,,,,,,,
39,동문재래시장,제주특별자치도 제주시 동문로 16,제주의 맛을 고스란히 담아낸 시장,"제주도 도심에 자리하며, 가장 크고 역사가 깊은 상설 재래시장이다","낮에는 제주도 상인들의 삶을 담은 시장의 모습을, 밤에는 먹거리가 가득한 야시장의 묘미를 즐길 수 있다","제주의 특산품, 기념품, 의류, 먹거리 등 온갖 다양한 상품을 판매하고 있다",322,north,https://map.naver.com/p/entry/place/11616005,08:00 ~ 21:00,무료,1시간,,,,,,,,,,,,,
40,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,삼나무 향기에 취하며 걷는 아름답고 청정한 숲길,비자림으로부터 시작해 사려니오름까지 이어져 있는 길이다,숲길 양쪽을 따라 다양한 수종이 자라며 울창한 자연림이 펼쳐진다,제주의 숨은 비경 31곳 중 하나이다,29,east,https://map.naver.com/p/entry/place/112862112,09:00 ~ 17:00,무료,3시간,,,,,,,,,,,,,
41,한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,해안선을 따라 걷는 구불구불 해안길,애월항에서 곽지과물해변까지 해안을 따라서 조성된 산책로이다,"총 길이는 1.2km이며, 바로 옆에 파도가 첨벙거리는 해안 길을 따라 걸을 수 있다",제주도의 서쪽에 위치하고 있어 아름다운 일몰을 잘 감상할 수 있다,35,west,https://map.naver.com/p/entry/place/13481090,상시개방,무료,1시간,,,,,,,,,,,,,
42,도두동무지개해안도로,제주특별자치도 제주시 도두일동 1734,무지개색으로 칠해진 방호벽이 있는 이색 도로,해안도로를 배경으로 빨주노초파남보 무지개색으로 칠해진 방호벽을 볼 수 있다,제주공항과 가까운 곳에 있어 여행 전후로 가볍게 드라이브를 즐길 수 있는 곳이다, 총 거리는 약 15분에서 20분 사이로 바다를 보며 산책하고 사진을 찍기에 제격이다,58,north,https://map.naver.com/p/entry/place/1037809518,상시개방,무료,30분,,,,,,,,,,,,,
43,서귀포매일올레시장,제주특별자치도 서귀포시 중앙로62번길 18,서귀포에 위치한 제주의 대표적인 전통시장,서귀포 물류의 중심지에 해당되는 제주의 대표적인 전통시장이다,"대표 먹거리로 4대 명물이라 불리는 오메기떡, 통닭, 꽁치김밥, 모닥치기가 있다",올레야시장은 서귀포 유일의 야시장으로 오후 17시부터 늦은 밤까지 운영한다,1335,south,https://map.naver.com/p/entry/place/13571992,07:00 ~ 20:00,무료,1시간,,,,,,,,,,,,,
44,성산일출봉,제주특별자치도 서귀포시 성산읍 성산리 78,제주의 아름다운 해맞이 명소,정상에 오르면 푸른 바다와 한라산이 한눈에 들어오며 아름다운 일출을 볼 수 있다,"정상에 이르는 가파른 계단 길은 숨이 가쁘나, 넉넉히 20분이면 꼭대기에 다다른다",천연기념물로 지정되어 있으며 유네스코 세계자연유산에 등재되었다,1119,east,https://map.naver.com/p/entry/place/11491438,07:30 ~ 19:00,5000원,1시간,,,,,,,,,,,,,
45,아르떼뮤지엄 제주,제주특별자치도 제주시 애월읍 어림비로 478,국내 최대의 몰입형 미디어 아트 뮤지엄,"벽과 바닥이 스크린으로, 최신기술을 활용한 미디어아트의 세계가 펼쳐진다",빛과 소리가 만드는 영원한 자연을 테마로 하는 11개의 다채로운 작품이 있다,과거 스피커 제조 공장으로 사용되던 공간을 업사이클링하여 선보인 공간이다,21331,west,https://map.naver.com/p/entry/place/1669734880,10:00 ~ 20:00,17000원,1시간,,,,,,,,,,,,,
